테이블명,설명
mbp.bloc_od_stay_sigungu,- 시군구 별 OD데이터에서 체류인구 집계 데이터
mbp.bloc_od_stay_sigungu_roaming,- 로밍데이터의 시군구 별 OD데이터에서 체류인구 집계 데이터
mbp.bloc_od_tmp,
mbp.bloc_od_tmp_roaming,
mbp.bloc_od_visitor_dong,- 행정동 별 OD데이터에서 방문자 집계 데이터
mbp.bloc_od_visitor_dong_roaming,- 로밍데이터의 행정동 별 OD데이터에서 방문자 집계 데이터
mbp.bloc_od_visitor_sigungu,- 시군구 별 OD데이터에서 방문자 집계 데이터
mbp.bloc_od_visitor_sigungu_roaming,- 로밍데이터의 시군구 별 OD데이터에서 방문자 집계 데이터
mbp.bloc_snapshot_day,
mbp.bloc_snapshot_month,
mbp.bloc_statistic_day,- 5분 스냅샷 일별 통계 데이터
mbp.bloc_statistic_hour,- 5분 스냅샷 시간별 통계 데이터
mbp.bloc_statistic_week,- 5분 스냅샷 주별 통계 데이터
mbp.bloc_svc_adm_rate_monthly,
mbp.bloc_work,- 서비스코드 별 월별 근무지 데이터
mbp.bloc_work_monthly,- 서비스코드 별 최근 달 근무지 데이터
mbp.bloc_work_temp_0125,
mbp.bloc_work_tmp,- 서비스코드 별 거주지 데이터를 만들 때 사용하는 임시테이블
mbp.bloc_work_tmp_20190211,
mbp.bloc_work_tmp_adm,- 서비스코드 별 거주지 데이터를 만들 때 사용하는 임시테이블에 행정동 코드 추가
mbp.cms_bts_juso,
mbp.cms_cell_day,
mbp.cms_cell_day_adm,
mbp.cms_cell_day_adm_02,
mbp.cms_cell_day_adm_daily,
mbp.cms_cell_day_adm_daily_view,
mbp.cms_cell_day_tmp,
mbp.cms_enb_juso,
mbp.cms_ru_juso,
mbp.comm_holidays,
mbp.cust_adm_ingu_cnt,
mbp.cust_forein_visit,
mbp.cust_forein_visit_tmp,
mbp.cust_info,
mbp.cust_mcc,
mbp.dual,
mbp.hd_card_bizmstr_close_building,
mbp.hd_card_dms_dai_sales_est,
mbp.hd_card_dms_merchant_cnt,
mbp.hd_card_dms_mon_sales_est,
mbp.hd_card_dms_mon_sales_est_age,
mbp.hd_card_dms_mon_sales_est_det,
mbp.hd_card_dms_mon_sales_est_sum,
mbp.hd_card_dms_mon_sales_est_sum_gb,
mbp.hd_card_dms_mon_sales_est_time,
mbp.hd_card_dms_mon_sales_est_wkdy,
mbp.hd_card_hd_stdym,
mbp.hd_card_tms_dai_scls_sales_est_age,
mbp.hd_card_tms_dai_scls_sales_est_time,
mbp.hd_card_tms_mon_scls_sales_est_age,
mbp.hd_card_tms_mon_scls_sales_est_scls,
mbp.hd_card_tms_mon_scls_sales_est_time,
mbp.hd_card_tms_mon_scls_sales_est_wkdy,
mbp.life_style_match_cell,
mbp.life_style_match_cell_day,
mbp.life_style_match_time,
mbp.loc_cms,
mbp.loc_cms_2,
